Timestamp,Name,CPU,Memory
2024-10-31 04:09:59,samdul-load_balancer-1,0.12%,86.58%
2024-10-31 04:10:03,samdul-load_balancer-1,0.12%,86.58%
2024-10-31 04:10:07,samdul-load_balancer-1,0.12%,86.58%
2024-10-31 04:10:11,samdul-load_balancer-1,0.15%,86.58%
2024-10-31 04:10:15,samdul-load_balancer-1,0.13%,86.58%
2024-10-31 04:10:19,samdul-load_balancer-1,0.11%,86.58%
2024-10-31 04:10:23,samdul-load_balancer-1,0.12%,86.58%
2024-10-31 04:10:27,samdul-load_balancer-1,0.12%,86.58%
2024-10-31 04:10:31,samdul-load_balancer-1,0.18%,86.43%
2024-10-31 04:10:35,samdul-load_balancer-1,0.12%,86.43%
2024-10-31 04:10:39,samdul-load_balancer-1,0.12%,86.43%
2024-10-31 04:10:43,samdul-load_balancer-1,0.12%,86.43%
2024-10-31 04:10:47,samdul-load_balancer-1,0.11%,86.43%
2024-10-31 04:10:51,samdul-load_balancer-1,0.15%,86.43%
2024-10-31 04:10:55,samdul-load_balancer-1,0.11%,86.43%
2024-10-31 04:10:59,samdul-load_balancer-1,0.10%,86.43%
2024-10-31 04:11:03,samdul-load_balancer-1,0.11%,86.43%
2024-10-31 04:11:07,samdul-load_balancer-1,0.11%,86.43%
2024-10-31 04:11:11,samdul-load_balancer-1,0.15%,86.43%
2024-10-31 04:11:15,samdul-load_balancer-1,0.12%,86.43%
2024-10-31 04:11:19,samdul-load_balancer-1,0.11%,86.43%
2024-10-31 04:11:23,samdul-load_balancer-1,0.12%,86.43%
2024-10-31 04:11:27,samdul-load_balancer-1,0.12%,86.43%
